"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"5"
"203"	0.030816	0.031004	0.032131	0.074088	0.043272	203	5
"204"	0.030816	0.031004	0.032131	0.074088	0.043272	204	5
"205"	0.030816	0.031004	0.032131	0.074088	0.043272	205	5
"206"	0.030816	0.031004	0.032131	0.074088	0.043272	206	5
"207"	0.030816	0.031004	0.032131	0.074088	0.043272	207	5
"208"	0.030816	0.031004	0.032131	0.074088	0.043272	208	5
"209"	0.030816	0.031004	0.032131	0.074088	0.043272	209	5
"172"	0.028845	0.029021	0.030075	0.069349	0.040504	172	5
"175"	0.028845	0.029021	0.030075	0.069349	0.040504	175	5
"272"	0.015639	0.015734	0.016306	0.037599	0.02196	272	5
"273"	0.015639	0.015734	0.016306	0.037599	0.02196	273	5
"274"	0.015639	0.015734	0.016306	0.037599	0.02196	274	5
"275"	0.015639	0.015734	0.016306	0.037599	0.02196	275	5
"276"	0.015639	0.015734	0.016306	0.037599	0.02196	276	5
"277"	0.015639	0.015734	0.016306	0.037599	0.02196	277	5
"249"	0.002633	0.0026491	0.0027453	0.0063302	0.0036972	249	5
"251"	0.002633	0.0026491	0.0027453	0.0063302	0.0036972	251	5
"24"	0.002419	0.0024337	0.0025221	0.0058156	0.0033966	24	5
"295"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	295	5
"296"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	296	5
"297"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	297	5
"298"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	298	5
"299"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	299	5
"304"	0.0020448	0.0020573	0.002132	0.0049161	0.0028713	304	5
"140"	0.0019918	0.002004	0.0020768	0.0047887	0.0027969	140	5
"195"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	195	5
"199"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	199	5
"280"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	280	5
"281"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	281	5
"282"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	282	5
"283"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	283	5
"284"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	284	5
"285"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	285	5
"286"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	286	5
"287"	0.0018934	0.001905	0.0019742	0.0045522	0.0026588	287	5
"196"	0.00094672	0.00095249	0.0009871	0.0022761	0.00132938	196	5
"300"	0.00083427	0.00083935	0.00086985	0.0020057	0.00117143	300	5
"290"	0.00071945	0.00072384	0.00075014	0.0017297	0.00101025	290	5
"291"	0.00071945	0.00072384	0.00075014	0.0017297	0.00101025	291	5
"292"	0.00071945	0.00072384	0.00075014	0.0017297	0.00101025	292	5
"303"	0.00071945	0.00072384	0.00075014	0.0017297	0.00101025	303	5
"139"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	139	5
"309"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	309	5
"310"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	310	5
"311"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	311	5
"312"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	312	5
"319"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	319	5
"320"	0.00064224	0.00064615	0.00066963	0.0015441	0.00090186	320	5
"306"	0.00063118	0.00063503	0.0006581	0.0015175	0.00088632	306	5
"316"	0.00063118	0.00063503	0.0006581	0.0015175	0.00088632	316	5
"47"	0.00053522	0.00053848	0.00055805	0.0012868	0.00075158	47	5
"48"	0.00053522	0.00053848	0.00055805	0.0012868	0.00075158	48	5
"313"	0.00037521	0.0003775	0.00039121	0.00090207	0.00052686	313	5
"305"	0.00037416	0.00037644	0.00039012	0.00089954	0.00052538	305	5
"307"	0.00037416	0.00037644	0.00039012	0.00089954	0.00052538	307	5
"317"	0.00037416	0.00037644	0.00039012	0.00089954	0.00052538	317	5
"308"	0.00034424	0.00034634	0.00035892	0.00082762	0.00048338	308	5
"318"	0.00034424	0.00034634	0.00035892	0.00082762	0.00048338	318	5
