Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Serine, O-acetyl-	0	0	#DIV/0!	0	0	#DIV/0!	0	0	#DIV/0!	0	0	0	0.4002164099	0.5118805188	0	0	0.2369219817	0	0	0	0	0	#DIV/0!	0
Threonine	0	0.6325033702	#DIV/0!	0.2368497451	0.0285016607	0.0386755101	1.2396226936	0.3412243419	#DIV/0!	0.0177048829	0.99558824	0.9951174962	0.4649009336	0.5623364771	0	0.7135819375	0.8812098586	0	0.5944582416	0.6808967755	0.7950166901	0.6040315679	1.5000280958	0.4329219901
Tyrosine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0.9459571719	0.3323373891	0	0	0.4592180083	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Valine	0.6111640679	0.8262898412	#DIV/0!	0.6311201292	0.4664045581	0.6573295752	1.4558332822	0.5824976285	#DIV/0!	0.1029588881	0.7216437844	0.5846302264	0.4941046943	0.3223009002	0	0.4913922394	0.583425723	0	1.2408703257	0.5950779059	0.3654260097	0.8607819428	0.9142428904	2.4553031464
3-Indoxyl sulfate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Adenosine, 5-methylthio-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0.564743261	0.5310354266	0	0	1.2221438117	0	0	0	0	0	#DIV/0!	0
Agmatine	#DIV/0!	0	#DIV/0!	0	0	0	0.8829930244	0.3377802553	#DIV/0!	0	0.8538252417	1.8708779615	0.374148024	1.2485781326	0	0.190692907	1.4526166862	0	0.4656404892	0.3717354209	0.2955184458	0.2011538285	0	0.274979665
Arginine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	1.0085385545	0.8265020509	0	0	0.7113938222	0	0	0	0	0	0	0
Isonicotinic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.5927437887	0.7022546754	0	#DIV/0!	1.1366883907	0	1.0293606266	0.1786838842	0.4755208046	#DIV/0!	0.4587046396	1.0636041197
Nicotinic acid, 6-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
