	0d	0d	0d	1d	1d	1d	7d	7d	7d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21	mt/wt_21	mt/wt_21
Glucose	0.8681546333	1.232475676	1.7165035005	16.415015597	4.7072000578	13.0734092802	8.4502645682	2.0141323561	#DIV/0!	0.5404035019	1.6630348882	5.4687524712
Glucose, 1,6-anhydro-, beta-	0.6035372924	1.4192129993	1.4227313289	4.9246602358	0.7270143972	0.8096508718	1.1456122501	1.1031793999	#DIV/0!	1.0514459573	1.6375190071	1.16308024
Maltose	2.0711842451	1.9214525497	0.3788307804	7.8908031852	2.1001316887	1.7602032908	1.6383134867	0.7456892039	#DIV/0!	0.7431563818	1.3052190216	2.7365506971
Maltotriose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Melibiose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.2074486368	0.2946083846	0.3172390308
Raffinose	23.4070892083	56.8040475527	#DIV/0!	53.2351783671	5.004782984	6.9540692837	0.9630819273	1.8843290764	#DIV/0!	0.5916394866	0.4750885357	0.7886614738
Sucrose	1.1089044962	1.5417831298	1.0026547401	4.7105574507	2.0464700788	1.5373345712	1.5625175825	2.066893306	#DIV/0!	2.0602065113	2.9593969438	1.6487681667
Trehalose, alpha,alpha'-	1.7280278268	1.6664801988	2.0403613596	4.5381442119	1.5562242374	1.2699293862	3.2879730683	2.0477302356	#DIV/0!	1.7967289496	3.9428654186	4.1084339282
Xylose	0.8180177163	0.9553527274	1.4997322577	5.0226930403	1.401996415	0.915268399	1.0705126059	0.5404833718	#DIV/0!	0.8978160464	1.1143807865	1.0857728654
Nonanoic acid	1.2463516598	1.3038019317	0.9329542705	#DIV/0!	1.3457025386	0.9164040894	1.2643405017	4.5754710699	#DIV/0!	2.3220650907	3.6539895096	1.4136986585
