		MT_e1_0d				MT_e1_1d				MT_e1_7d				MT_e1_21d		
		rv				rv				rv				rv		
metabolite		WT_e1_0d	?	sdev		WT_e1_1d	?	sdev		WT_e1_7d	?	sdev		WT_e1_21d	?	sdev
Glutamic acid		1.73126742055	?	0.868929797022981		1.26995872925	?	1.39309646486069		1.1294527687	?	0.350539089137384		4.1717841199	?	3.13163827131397
Glutamine		1.1893375226	?	0.637951567998033		1.0777449231	?	1.23923703988468		2.26256319045	?	0.481149378852078		10.6397632365667	?	12.274848588796
Glutaric acid, 2-oxo-		1.6843093107	?	0.628169903496961		0.8172913038	?	0.220118527556501		1.62629355075	?	0.438333633471732		4.75799876463333	?	3.4184124381508
Glyceric acid		1.3957800389	?	0.0475540426066553		1.017329741	?	0.360850327402933		1.6160715851	?	0.0648772532247817		1.51500529506667	?	0.255937271729793
Glycerol-3-phosphate		2.4661209627	?	0.495813355249816		1.1267850635	?	0.309835294511482		1.931218258	?	0.634320084085955		2.49380702753333	?	1.04118562470052
Glycerophosphoglycerol		2.5790821009	?	1.15858055416367		1.4179803145	?	1.10232936119214		2.0097538895	?	0.130839233283484		2.7996773428	?	1.76104674581015
Glycine		1.12169011665	?	0.316846303855334		0.7541008244	?	0.0413314880829713		2.8716590323	?	1.53106792510647		5.83102622876667	?	3.74303369589934
Inositol, myo-		2.2319886518	?	0.54855558130713		1.50350589135	?	0.763172877432259		2.2528098669	?	0.155611943383373		1.51205527463333	?	0.52714744074494
Lyxonic acid		0.7047547446	?	0.200294539620085		0.9512974068	?	0.604130822480828		1.29550405675	?	0.731778526973974		3.4666722277	?	3.71126522861409
Lyxonic acid-1,4-lactone		0.5054870476	?	0.0534745373768725		1.01744510155	?	0.796059228572858		1.7888669725	?	1.34518154656059		3.80566267786667	?	3.64588938388435
Malic acid		1.5049044138	?	0.722179789088007		0.83528442185	?	0.0746070304423827		2.9540447018	?	0.28029114296913		4.11346179943333	?	4.01325772491535
Malonic acid		1.1166401528	?	0.114282035825479		1.06931604665	?	0.381267304066308		1.2934425459	?	0.187805626721836		2.2550665363	?	1.05857402961408
Maltose		5.91758376875	?	7.0238517727349		0.5125700086	?	0.24786388034053		0.85909021365	?	0.276205644106918		2.57002555173333	?	1.50703935510424
N-Carboxyglycine		1.213904173	?	1.1145152924111		0.36722781065	?	0.265540013115027		1.6816779662	?	1.64207833709584		6.38133956636667	?	1.767978614652
Nonanoic acid		2.1490254193	?	0.978419588112362		1.0814821693	?	0.0736566835246621		2.1861232857	?	1.24421384451112		2.14966217866667	?	1.82399013625021
Ornithine		1.48292789695	?	0.549505384601157		0.99438034265	?	0.718510343087721		1.929254354	?	0.366091648796827		2.93839352466667	?	1.72577910542181
Phosphoric acid		5.1779996883	?	2.25418940888291		1.8015377597	?	0.543721510285687		2.2051700446	?	0.619850818662095		4.92182979083333	?	3.21519355916988
Phosphoric acid monomethyl ester		8.8445059448	?	4.94169540311358		1.44268681585	?	0.836649482214377		2.13391362775	?	0.749443228165271		5.0239799037	?	1.69840507660346
Proline		4.1195980967	?	1.27196729989034		1.5418975284	?	0.666117038659452		2.5311325005	?	0.641340564347324		3.53672501696667	?	1.4758585893275
Putrescine		1.2207222631	?	0.478508487123016		1.39377171725	?	0.922078384195256		1.49677186215	?	0.021615006045272		1.96654239366667	?	0.139843818379586
Pyroglutamic acid		1.2580961299	?	0.269281460263307		1.15720726375	?	0.136298473320077		2.9855861622	?	2.44285744297549		2.2708612553	?	1.19820619597141
