Metabolite_e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d
beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-	0.5008187998	0.4910652024	0.4043255494	2.2580789407	1.4960984147	1.7418055249	0.1647300036	0.5081243687	0.5571720874	3.3677323703	0.8128428445	#DIV/0!
Galactinol	0.107979984	0.0569469288	0.0530216619	0.4014381307	0.6998387899	4.0055732855	0.2994210029	0.4730475518	0.1045346579	1.1488722382	1.2276862037	#DIV/0!
Maltitol	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Salicylic acid-glucopyranoside	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Fructose	0.7023109802	0.3830884694	0.385540524	1.7880258551	0.7438558779	0.8345238655	0.0174227469	0.0922505094	0.0573886844	53.6216469575	4.0448438514	#DIV/0!
Glucose	1.1518685286	0.8113750392	0.582579645	1.1852930866	0.2577331967	0.8990064754	0.0609198325	0.212440514	0.0764911416	12.8791058682	3.3841936933	#DIV/0!
Glucose, 1,6-anhydro-, beta-	1.6568984428	0.7046158684	0.7028733955	2.0907826903	1.2428832307	0.7520136447	0.2030596939	1.3754885788	1.2351002573	1.3175306274	0.5070155463	#DIV/0!
Maltose	0.4828155691	0.5204396019	2.6397010265	0.6319591514	0.3940501593	0.212684268	0.1267298115	0.4761606167	0.5681161973	4.7574992122	1.4808991409	#DIV/0!
Maltotriose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Melibiose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Raffinose	0.0427220997	0.0176043793	0	11.3477126535	2.5676851149	5.6372412792	0.0187845712	0.1998088635	0.1438006956	0.7247259016	0.44216097	#DIV/0!
Sucrose	0.9017909148	0.6485996511	0.9973522889	2.8933829207	1.7677671479	1.0776423163	0.2122890996	0.4886462843	0.6504764927	1.5544862799	1.1325846413	#DIV/0!
Trehalose, alpha,alpha'-	0.5786943847	0.6000671359	0.4901092619	2.9411108917	1.3718956026	1.183701585	0.2203543901	0.6425809186	0.7874453579	1.5679608242	0.8715639964	#DIV/0!
Xylose	1.2224674113	1.0467338098	0.6667856845	3.3959575644	0.795186427	1.0044560564	0.1990963796	0.7132685856	1.0925756872	1.0719571392	0.6629218462	#DIV/0!
Nonanoic acid	0.8023417726	0.7669876656	1.0718638969	#DIV/0!	1.6715854071	0.7858232137	#DIV/0!	0.7431062744	1.0912216691	0	1.2716647882	#DIV/0!
