	0d	0d	0d	0d	0d	0d	1d	1d	1d	1d	1d	1d	7d	7d	7d	7d	7d	7d	21d	21d	21d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d
Inositol-phosphate, myo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Mannose-6-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.5846803661	1.2520846923	0	4.0736698279	1.4051408268	1.5102730608	1.4605387297	2.0489312704	#DIV/0!	1.8973669116	1.3755033781	#DIV/0!	1.9135885134	3.7485372366	2.2117203864	1.8474515015	4.4192944653	2.3975503197
Phosphonic acid, hydroxymethyl-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Phosphoric acid	6.7719523054	3.5840470712	#DIV/0!	4.9241320934	5.8379676956	4.1662875369	2.1860069267	1.4170685927	0	9.4739557804	1.2025720831	1.778639676	1.7668693274	2.6434707618	#DIV/0!	9.0654213386	8.2815015785	#DIV/0!	3.1758501866	2.9573672076	8.6322719783	5.0430539366	5.959863943	4.347939969
Phosphoric acid monomethyl ester	12.3388122749	5.3501996147	#DIV/0!	2.9748303497	0.940931941	1.6818681193	2.0342873382	0.8510862935	0	38.0956412733	1.7646696642	2.8569743087	2.6638500165	1.603977239	#DIV/0!	2.1942742392	1.505275315	#DIV/0!	4.7630814292	6.8377380234	3.4711202585	1.9871728817	1.9132064638	2.1834547673
Arabinonic acid-1,4-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.4253931508	1.1384087038	0	#DIV/0!	1.2753724964	1.2451861562	1.19897565	0.8224189477	#DIV/0!	2.2674417396	1.7801751134	#DIV/0!	1.120345233	#DIV/0!	3.2733961498	2.3363319654	3.5380629451	3.95734591
Ascorbic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.727182672	0.7967677068	#DIV/0!	#DIV/0!	3.0096334941	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Dehydroascorbic acid dimer	11.4663409252	10.069302414	#DIV/0!	0.3359672416	#DIV/0!	1.4908384965	4.7791232984	10.883074436	0	33.9956782514	1.035978395	0.7725988489	1.5185300691	7.5921901908	#DIV/0!	#DIV/0!	3.1926749979	#DIV/0!	2.2044674731	368.0684112271	24.2157322177	2.2917515972	30.9893790316	40.959913194
Erythronic acid	1.5891420404	0.825146019	#DIV/0!	0.9587708727	1.21604876	1.0145378529	0.5880450797	1.0279938322	0	7.4685997871	1.5710049745	1.4894433023	2.4070821507	2.185530914	#DIV/0!	1.6178103147	1.2079138556	#DIV/0!	2.3779933389	2.6089510983	4.2407539616	1.8543325748	2.2948493115	2.3219696326
Galactonic acid	1.6446914812	1.2016946771	#DIV/0!	1.258137635	1.4203262175	1.3360688213	0.7957082041	1.5963277411	0	2.5991704812	1.064031208	0.7990320194	2.3020794623	1.8194989511	#DIV/0!	1.2405933626	1.2288280713	#DIV/0!	2.0970817141	3.698591609	2.5142541531	1.3462234123	1.1526418876	1.2602158624
Gluconic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glyceric acid	1.4294058249	1.3621542529	#DIV/0!	1.0824636922	0.7833954015	1.0577783851	0.7621700275	1.2724894545	0	8.0879354209	2.1190913717	2.0148365964	1.5701964394	1.6619467308	#DIV/0!	0.9554794607	0.8053377119	#DIV/0!	1.3869277743	1.3483906389	1.809697472	1.336795722	1.3569548095	1.1098944145
Lyxonic acid	0.8463843718	0.5631251174	#DIV/0!	1.6321267291	2.1780940005	0.9622320903	0.5241124055	1.3784824081	0	6.5051400866	1.0297319301	1.0444622532	1.8129496155	0.778058498	#DIV/0!	1.765457831	1.1656050095	#DIV/0!	0.9388761985	7.7274311038	1.7337093808	2.557645296	1.6112412399	1.7879567828
Lyxonic acid-1,4-lactone	0.4676748396	0.5432992556	#DIV/0!	1.8025124453	3.0583234651	3.1416854491	0.4545462228	1.5803439803	0	#DIV/0!	1.2601188559	1.3462048269	2.740053966	0.837679979	#DIV/0!	2.2160727217	0.8355707652	#DIV/0!	0.6558713361	7.7995706011	2.9615460964	1.5927646237	1.3193252172	2.6299845037
Ribonic acid	0.6388998127	0.5143169395	#DIV/0!	1.0814149699	1.785405969	0.682754243	0.4487649582	1.6680202285	0	2.6569848215	0.8872794262	0.7638970422	1.8403889608	0.9259618784	#DIV/0!	0.9743768052	0.700546648	#DIV/0!	0.8673337603	4.8804166416	1.0605715995	1.9606565587	0.9278883729	1.0044037842
Ribonic acid-gamma-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Saccharic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Threonic acid	0.9879791819	0.6507531273	#DIV/0!	0.7369563717	0.8356127772	0.5558488162	0.3248849867	1.3337491942	0	0.8512155619	0.8648200631	1.1114063215	1.9012588614	1.3210846387	#DIV/0!	1.0506880978	0.6124341159	#DIV/0!	2.4041778945	3.3150230639	1.3758546355	2.024026675	1.2649559083	1.1533436032
Threonic acid-1,4-lactone	2.4078585599	1.6458567345	#DIV/0!	1.2950668488	1.6857603381	4.5285350198	0.6446032004	1.1825136073	0	#DIV/0!	0.9525608768	1.3313975742	2.1065025123	2.1591817213	#DIV/0!	3.2018661755	2.5367431524	#DIV/0!	3.3626531085	5.7618563988	6.3144520806	1.7678665797	2.8373886328	9.8843062659
Erythritol	5.1681342593	3.9024102101	#DIV/0!	#DIV/0!	3.2218605766	3.3127077314	1.7536199039	1.9312604239	0	#DIV/0!	4.2646502879	2.7167183004	6.0551650937	#DIV/0!	#DIV/0!	2.9076002938	3.1410358993	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
